                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2766,                0.61366,                 1.1375,                0.97735,                0.97545,                0.98942,                0.69998,                 1.1244,                0.45948,                 1.0952,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2733,                0.61285,                 1.1362,                0.98121,                0.97198,                0.99154,                0.69788,                 1.1317,                0.46082,                 1.0972,               0.008317,               0.008317,               0.008317
                     37,                 1.2649,                0.60906,                 1.1306,                0.97123,                0.97149,                0.98966,                0.69761,                 1.1245,                 0.4633,                 1.0991,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.261,                 0.6108,                 1.1334,                0.96669,                0.97901,                0.98973,                0.70467,                 1.1064,                0.45877,                 1.0957,               0.008218,               0.008218,               0.008218
                     39,                 1.2541,                  0.607,                 1.1271,                 0.9803,                0.97663,                 0.9907,                0.70369,                 1.1007,                0.45141,                 1.0804,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2509,                0.59877,                 1.1263,                0.97706,                 0.9798,                0.99109,                0.70736,                 1.0972,                0.44573,                 1.0859,               0.008119,               0.008119,               0.008119
                     41,                  1.246,                 0.5934,                 1.1226,                0.97672,                 0.9802,                 0.9916,                0.71542,                 1.0762,                0.43602,                 1.0762,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2355,                0.58608,                 1.1175,                0.97948,                0.98286,                0.99089,                0.71439,                 1.0753,                0.43378,                 1.0647,                0.00802,                0.00802,                0.00802
                     43,                  1.233,                0.58287,                 1.1158,                0.97871,                0.98305,                0.99153,                0.71865,                 1.0672,                 0.4267,                 1.0681,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2242,                0.58413,                 1.1096,                0.98058,                0.98011,                0.99197,                0.72269,                 1.0569,                0.42594,                 1.0641,               0.007921,               0.007921,               0.007921
                     45,                 1.2176,                0.58056,                 1.1089,                0.98094,                0.97901,                0.99315,                0.72461,                 1.0477,                0.41835,                 1.0584,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2183,                0.57409,                 1.1091,                0.97982,                 0.9807,                0.99205,                0.73079,                 1.0262,                 0.4187,                 1.0491,               0.007822,               0.007822,               0.007822
                     47,                 1.2023,                0.56946,                 1.1056,                0.98387,                0.98416,                0.99254,                0.72884,                 1.0224,                0.41501,                 1.0567,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1944,                0.56461,                  1.099,                0.98649,                0.98301,                0.99258,                 0.7387,                 1.0111,                 0.4044,                 1.0427,               0.007723,               0.007723,               0.007723
                     49,                 1.1924,                0.56376,                 1.0988,                0.98259,                0.98455,                0.99247,                0.74081,                0.99826,                0.39997,                 1.0377,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1865,                0.56429,                 1.0955,                0.98806,                0.98308,                0.99335,                0.74595,                0.98254,                 0.3974,                 1.0291,               0.007624,               0.007624,               0.007624
                     51,                 1.1798,                0.55297,                 1.0933,                0.98659,                0.98337,                0.99339,                0.74555,                0.98959,                0.39416,                 1.0348,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.1766,                0.55372,                 1.0913,                 0.9859,                0.98257,                0.99314,                0.74935,                0.97251,                0.38583,                 1.0254,               0.007525,               0.007525,               0.007525
                     53,                 1.1756,                0.55254,                 1.0889,                0.98436,                0.98376,                0.99285,                0.74654,                0.98065,                0.39177,                 1.0297,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1679,                0.54623,                 1.0832,                0.98615,                0.98717,                0.99347,                0.75429,                0.96024,                0.38384,                 1.0192,               0.007426,               0.007426,               0.007426
                     55,                 1.1701,                0.54823,                 1.0866,                 0.9866,                0.98416,                0.99302,                0.75488,                0.95542,                0.38474,                 1.0187,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.1562,                0.54596,                 1.0836,                0.98796,                0.98574,                0.99361,                0.75891,                0.94654,                0.37705,                 1.0178,               0.007327,               0.007327,               0.007327
                     57,                 1.1408,                0.53347,                 1.0711,                0.98595,                0.98653,                0.99332,                0.76807,                0.92551,                0.37447,                 1.0035,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.1536,                 0.5363,                 1.0745,                0.98733,                0.98574,                0.99403,                0.76843,                0.92328,                 0.3686,                 1.0032,               0.007228,               0.007228,               0.007228
                     59,                 1.1321,                 0.5325,                 1.0703,                0.98771,                0.98665,                0.99376,                0.77228,                0.92075,                0.36613,                 1.0018,              0.0071785,              0.0071785,              0.0071785
                     60,                  1.131,                0.53076,                 1.0651,                0.98961,                0.98693,                0.99414,                0.77359,                0.91343,                0.36004,                0.99388,               0.007129,               0.007129,               0.007129
                     61,                 1.1303,                0.52722,                 1.0671,                0.98851,                 0.9883,                0.99388,                 0.7739,                0.90945,                0.36124,                  0.993,              0.0070795,              0.0070795,              0.0070795
                     62,                  1.117,                0.52327,                 1.0588,                0.98619,                0.99005,                 0.9939,                0.77653,                0.89344,                0.35472,                0.98405,                0.00703,                0.00703,                0.00703
                     63,                 1.1161,                0.52753,                 1.0641,                0.99126,                 0.9881,                0.99402,                0.77987,                 0.8906,                0.35252,                0.98922,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.1146,                0.52266,                 1.0649,                0.98863,                0.98931,                0.99418,                 0.7816,                0.88411,                0.35384,                0.98642,               0.006931,               0.006931,               0.006931
                     65,                 1.1106,                0.51685,                 1.0623,                0.98774,                0.98941,                0.99369,                0.78336,                0.87189,                 0.3476,                0.98058,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.1081,                0.51962,                 1.0535,                0.98698,                0.99099,                0.99407,                0.78982,                0.86583,                0.34596,                0.97737,               0.006832,               0.006832,               0.006832
                     67,                  1.096,                0.51262,                 1.0525,                0.98986,                0.98931,                0.99414,                0.79206,                0.85134,                0.34116,                0.97451,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.089,                0.50782,                 1.0513,                0.98874,                0.99129,                0.99435,                0.79076,                0.85169,                0.34051,                0.97298,               0.006733,               0.006733,               0.006733
                     69,                 1.0891,                0.50579,                  1.049,                0.99071,                 0.9901,                0.99428,                0.79498,                  0.844,                0.34006,                0.96858,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0843,                0.50979,                 1.0469,                0.98933,                 0.9916,                0.99409,                0.79698,                0.83498,                 0.3381,                0.96561,               0.006634,               0.006634,               0.006634
                     71,                 1.0835,                0.50817,                 1.0514,                0.98687,                0.99168,                0.99398,                0.79679,                0.82811,                0.33499,                0.96812,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0743,                0.50152,                 1.0462,                0.98894,                0.99154,                0.99424,                0.80205,                0.82493,                0.33267,                0.96528,               0.006535,               0.006535,               0.006535
                     73,                 1.0712,                0.49692,                 1.0436,                0.98751,                0.99327,                0.99422,                0.80512,                0.81291,                0.32742,                0.95736,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0675,                0.49451,                 1.0373,                0.99171,                 0.9901,                0.99438,                0.80633,                0.81078,                0.32708,                0.95408,               0.006436,               0.006436,               0.006436
                     75,                 1.0597,                0.49211,                 1.0327,                 0.9932,                 0.9905,                0.99444,                0.81054,                 0.7952,                0.32155,                0.94734,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0482,                0.49154,                 1.0311,                 0.9909,                0.99218,                0.99447,                 0.8111,                 0.7914,                0.32067,                0.94678,               0.006337,               0.006337,               0.006337
                     77,                 1.0406,                0.48593,                   1.03,                0.99169,                0.99262,                0.99439,                0.81567,                0.78205,                0.31834,                0.94353,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0459,                0.48358,                 1.0293,                0.99158,                0.99287,                0.99404,                0.81703,                0.77596,                0.31731,                0.94131,               0.006238,               0.006238,               0.006238
                     79,                 1.0374,                  0.484,                 1.0277,                0.99206,                0.99208,                0.99438,                0.81764,                0.77195,                0.31457,                0.94117,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0414,                0.48087,                 1.0293,                0.98896,                0.99446,                0.99429,                0.81947,                 0.7709,                0.31238,                0.94012,               0.006139,               0.006139,               0.006139
                     81,                 1.0272,                0.47784,                 1.0251,                0.99198,                0.99208,                0.99415,                0.82021,                0.76103,                0.31036,                0.93727,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.0235,                 0.4734,                 1.0214,                0.99247,                0.99154,                 0.9941,                 0.8235,                0.75174,                0.30924,                0.93417,                0.00604,                0.00604,                0.00604
                     83,                 1.0219,                0.47658,                 1.0214,                0.99341,                0.99248,                0.99399,                0.82493,                0.74758,                0.30583,                0.93143,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.0142,                0.47123,                 1.0149,                0.99127,                0.99208,                0.99428,                0.82653,                0.74385,                0.30482,                0.92754,               0.005941,               0.005941,               0.005941
                     85,                 1.0135,                0.47196,                 1.0156,                 0.9905,                0.99406,                0.99433,                0.82859,                0.73502,                 0.3036,                0.92548,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.0058,                 0.4692,                 1.0148,                0.99209,                0.99314,                0.99435,                0.83068,                0.72988,                0.30185,                 0.9238,               0.005842,               0.005842,               0.005842
                     87,                 1.0048,                0.47319,                 1.0134,                0.99204,                0.99564,                0.99443,                0.83319,                0.72209,                0.29958,                 0.9198,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.0023,                0.46879,                  1.013,                0.99288,                0.99451,                0.99452,                0.83297,                0.71833,                0.29786,                0.91836,               0.005743,               0.005743,               0.005743
                     89,                0.99569,                0.46467,                   1.01,                0.99386,                0.99287,                0.99458,                0.83445,                0.71616,                0.29826,                0.91759,              0.0056935,              0.0056935,              0.0056935
                     90,                0.98852,                0.46252,                 1.0076,                0.99327,                0.99295,                0.99463,                0.83686,                0.70879,                0.29481,                0.91624,               0.005644,               0.005644,               0.005644
                     91,                0.98623,                0.46372,                 1.0059,                0.99286,                 0.9918,                0.99438,                0.83808,                0.70169,                 0.2939,                 0.9133,              0.0055945,              0.0055945,              0.0055945
                     92,                0.98353,                0.46294,                 1.0089,                0.99405,                0.99273,                0.99465,                0.84122,                0.69548,                0.29152,                0.91213,               0.005545,               0.005545,               0.005545
                     93,                0.97495,                0.45522,                 1.0021,                0.99347,                0.99366,                0.99449,                0.84247,                0.69066,                0.28927,                0.91045,              0.0054955,              0.0054955,              0.0054955
                     94,                0.97347,                0.45433,                 1.0015,                0.99332,                0.99446,                0.99463,                0.84325,                0.68774,                0.28806,                0.91007,               0.005446,               0.005446,               0.005446
                     95,                0.96881,                0.45115,                0.99946,                0.99484,                0.99298,                 0.9947,                0.84532,                0.68306,                0.28599,                0.90769,              0.0053965,              0.0053965,              0.0053965
                     96,                0.95785,                0.45027,                0.99771,                0.99449,                0.99446,                 0.9947,                0.84696,                0.67768,                0.28433,                0.90566,               0.005347,               0.005347,               0.005347
                     97,                0.96297,                0.44662,                0.99675,                0.99406,                0.99341,                0.99468,                0.84944,                0.67307,                0.28213,                0.90391,              0.0052975,              0.0052975,              0.0052975
                     98,                0.94912,                 0.4435,                0.98658,                0.99603,                0.99352,                0.99473,                0.85086,                0.66814,                0.28146,                0.90184,               0.005248,               0.005248,               0.005248
